iter	Passed	Remaining
0	4967	491799
1	8721	427364
2	12484	403680
3	17126	411027
4	22766	432556
5	27493	430734
6	31938	424321
7	35564	408991
8	40503	409531
9	45283	407555
10	50158	405831
11	52760	386913
12	55221	369560
13	59539	365744
14	63843	361777
15	66377	348484
16	68881	336303
17	73715	335815
18	76226	324967
19	80902	323611
20	85811	322815
21	88270	312959
22	92866	310902
23	96700	306217
24	101339	304018
25	103658	295028
26	106682	288437
27	110344	283743
28	112872	276343
29	116112	270929
30	119535	266062
31	123762	262995
32	126278	256383
33	129600	251577
34	134443	249680
35	136938	243446
36	139345	237264
37	141664	231137
38	144136	225444
39	148361	222541
40	150600	216717
41	155461	214685
42	160220	212384
43	162617	206967
44	166942	204040
45	171703	201565
46	176334	198845
47	178793	193692
48	181109	188501
49	184096	184096
50	188614	181217
51	191860	177102
52	195479	173349
53	199014	169530
54	201367	164755
55	206158	161981
56	209290	157886
57	211762	153345
58	214375	148973
59	218449	145632
60	220999	141294
61	223351	136892
62	227677	133715
63	230859	129858
64	233371	125661
65	235475	121305
66	238312	117377
67	243146	114421
68	245510	110301
69	247714	106163
70	252610	103178
71	256358	99695
72	258594	95644
73	260788	91628
74	264885	88295
75	268301	84726
76	270723	80865
77	275028	77572
78	277354	73727
79	280774	70193
80	285631	67000
81	288777	63390
82	291636	59732
83	294994	56189
84	299545	52860
85	303587	49421
86	306026	45728
87	310076	42283
88	312320	38601
89	314530	34947
90	316667	31318
91	318845	27725
92	323014	24312
93	325887	20801
94	330339	17386
95	334694	13945
96	338240	10461
97	341100	6961
98	343253	3467
99	347508	0
